learning rate;# of epochs;momentum;Root mean squared error;hidden layers;Correctly Classified Instances;Mean absolute error;Root relative squared error;Relative absolute error;filename
0.8;2000.0;0.2;0.3051;a,t;74.4076;0.1049;82.0686;37.9339;reports/run_1/Feb 18, 2016 1:48:01 PM0b760b0c-a925-4630-b1f1-dede8f508310
0.8;3000.0;0.5;0.3001;a,t;74.4076;0.1067;80.7407;38.6061;reports/run_1/Feb 18, 2016 4:10:43 PMf69cb35d-54cd-4f02-8af9-fc7fcc30e7eb
0.8;500.0;0.2;0.2943;a,a;74.4076;0.1091;79.1836;39.4576;reports/run_1/Feb 18, 2016 12:56:37 AM68b26e02-f4a6-4839-934e-e555443b4f9e
0.2;3000.0;0.5;0.3029;a;74.4602;0.1059;81.4897;38.3132;reports/run_1/Feb 17, 2016 6:47:37 PM0b783489-f67b-43cb-b4bf-b1d46af81dd6
0.5;3000.0;0.5;0.3016;t;74.4602;0.1037;81.1384;37.493;reports/run_1/Feb 17, 2016 9:55:47 PM18abd541-eb1b-4583-90e0-6091246d87d7
0.8;2000.0;0.5;0.2969;a,a;74.4602;0.1111;79.8806;40.1829;reports/run_1/Feb 18, 2016 2:36:51 AM7395649e-687b-4a82-a543-c0f22195deaf
0.2;500.0;0.5;0.2964;a;74.4602;0.1053;79.7373;38.1015;reports/run_1/Feb 17, 2016 6:39:40 PM0aaf6936-450a-45ab-9ab3-0bd136f45b06
0.2;2000.0;0.8;0.3042;a,t;74.4602;0.1047;81.8408;37.8502;reports/run_1/Feb 18, 2016 5:04:04 PM09e690c8-879d-4f5c-9762-931359ff6fb4
0.2;500.0;0.8;0.2945;a,a;74.4602;0.1077;79.2181;38.9362;reports/run_1/Feb 18, 2016 2:58:20 AM36105c5a-7088-4f16-9f1f-ee11f9697138
0.8;2000.0;0.2;0.3059;a;74.5129;0.105;82.2985;37.9596;reports/run_1/Feb 17, 2016 6:23:40 PMd13ec99b-4c6a-4bff-a002-bef9e893b0da
0.1;1000.0;0.8;0.3032;a,t;74.5129;0.1042;81.5739;37.6943;reports/run_1/Feb 18, 2016 4:21:50 PM1407a623-f2ba-4f47-9185-c8ba3b2ffab6
0.1;1000.0;0.8;0.2992;a;74.5129;0.1039;80.4846;37.5851;reports/run_1/Feb 17, 2016 7:15:32 PM97a78ad9-9b5d-406c-b84e-a018abe49abf
0.2;500.0;0.5;0.299;a,t;74.5656;0.1038;80.436;37.5515;reports/run_1/Feb 18, 2016 2:25:19 PMbc0070ee-85e6-4b69-8366-c471b8f500f3
